Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	27	0	05/20/2012	05/20/2012	USD	TW	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	1	0	05/20/2012	05/20/2012	EUR	SK	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	1	0	05/20/2012	05/20/2012	EUR	SI	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	17	0	05/20/2012	05/20/2012	EUR	ES	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	82	0	05/20/2012	05/20/2012	SEK	SE	SEK	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	1	0	05/20/2012	05/20/2012	EUR	GR	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	11	0	05/20/2012	05/20/2012	USD	IN	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	10	0	05/20/2012	05/20/2012	EUR	IT	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	20	0	05/20/2012	05/20/2012	EUR	DE	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	1	0	05/20/2012	05/20/2012	USD	IS	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	1	0	05/20/2012	05/20/2012	USD	VE	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	13	0	05/20/2012	05/20/2012	USD	CL	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	2	0	05/20/2012	05/20/2012	USD	EC	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	17	0	05/20/2012	05/20/2012	USD	AR	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	1	0	05/20/2012	05/20/2012	USD	SV	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	2	0	05/20/2012	05/20/2012	USD	BN	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	16	0	05/20/2012	05/20/2012	EUR	SK	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	30	0	05/20/2012	05/20/2012	CNY	CN	CNY	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	9	0	05/20/2012	05/20/2012	USD	AE	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	178	0	05/20/2012	05/20/2012	USD	SG	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	1	0	05/20/2012	05/20/2012	EUR	MT	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	1	0	05/20/2012	05/20/2012	EUR	LV	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	1	0	05/20/2012	05/20/2012	USD	EG	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	2	0	05/20/2012	05/20/2012	EUR	LU	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	51	0	05/20/2012	05/20/2012	EUR	AT	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	1	0	05/20/2012	05/20/2012	USD	BM	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	1	0	05/20/2012	05/20/2012	USD	PY	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	368	0	05/20/2012	05/20/2012	EUR	DE	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	2	0	05/20/2012	05/20/2012	USD	PK	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	14	0	05/20/2012	05/20/2012	EUR	BE	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	1	0	05/20/2012	05/20/2012	EUR	PT	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	1	0	05/20/2012	05/20/2012	EUR	LT	EUR	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	17	0	05/20/2012	05/20/2012	USD	KR	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	1	0	05/20/2012	05/20/2012	USD	IS	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	11	0	05/20/2012	05/20/2012	SEK	SE	SEK	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	7F	13	0	05/20/2012	05/20/2012	USD	PH	USD	466053027	0	 	 	 	 
APPLE	US	GC Mobile	Golf Channel	Golf Channel	3.3	1F	6	0	05/20/2012	05/20/2012	USD	PH	USD	466053027	0	 	 	 	 
